analysis_set,signal,metric,point_estimate,ci_lower,ci_upper
archehr_test,evidence_vs_answer_uncertainty,spearman_rho,0.1960076595875434,-0.0070526060167288955,0.39373612489720117
archehr_test,evidence_uncertainty,auroc,0.6209177346010747,0.5198429102935097,0.7174762298470438
archehr_test,evidence_uncertainty,aurc,0.5152964527569512,0.4521468813200975,0.5782950030073037
archehr_test,answer_uncertainty,auroc,0.5828854898718479,0.48697809011988435,0.6810768912773871
archehr_test,answer_uncertainty,aurc,0.5433504148421221,0.48152825865805354,0.6023407908271697
archehr_test,combined_uncertainty,auroc,0.6471682513435304,0.5398925175692435,0.7523925175692432
archehr_test,combined_uncertainty,aurc,0.49210360750632837,0.41734787103083315,0.5669923299499258
