analysis_set,signal,coverage,n_retained,retained_error_rate,retained_correctness
archehr_test,evidence_uncertainty,0.81,81,0.5679012345679012,0.4320987654320988
archehr_test,evidence_uncertainty,0.82,82,0.573170731707317,0.426829268292683
archehr_test,evidence_uncertainty,0.83,83,0.5783132530120482,0.42168674698795183
archehr_test,evidence_uncertainty,0.84,84,0.5833333333333334,0.41666666666666663
archehr_test,evidence_uncertainty,0.85,85,0.5764705882352941,0.42352941176470593
archehr_test,evidence_uncertainty,0.86,86,0.5697674418604651,0.43023255813953487
archehr_test,evidence_uncertainty,0.87,87,0.5747126436781609,0.4252873563218391
archehr_test,evidence_uncertainty,0.88,88,0.5795454545454546,0.4204545454545454
archehr_test,evidence_uncertainty,0.89,89,0.5730337078651685,0.4269662921348315
archehr_test,evidence_uncertainty,0.9,90,0.5666666666666667,0.43333333333333335
archehr_test,evidence_uncertainty,0.91,91,0.5714285714285714,0.4285714285714286
archehr_test,evidence_uncertainty,0.92,92,0.5652173913043478,0.4347826086956522
archehr_test,evidence_uncertainty,0.93,93,0.5698924731182796,0.4301075268817204
archehr_test,evidence_uncertainty,0.94,94,0.574468085106383,0.42553191489361697
archehr_test,evidence_uncertainty,0.95,95,0.5789473684210527,0.42105263157894735
archehr_test,evidence_uncertainty,0.96,96,0.5729166666666666,0.42708333333333337
archehr_test,evidence_uncertainty,0.97,97,0.5773195876288659,0.4226804123711341
archehr_test,evidence_uncertainty,0.98,98,0.5816326530612245,0.41836734693877553
archehr_test,evidence_uncertainty,0.99,99,0.5858585858585859,0.41414141414141414
archehr_test,evidence_uncertainty,1.0,100,0.59,0.41000000000000003
archehr_test,answer_uncertainty,0.01,1,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.02,2,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.03,3,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.04,4,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.05,5,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.06,6,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.07,7,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.08,8,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.09,9,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.1,10,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.11,11,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.12,12,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.13,13,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.14,14,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.15,15,0.5344827586206896,0.4655172413793104
archehr_test,answer_uncertainty,0.16,16,0.5344827586206896,0.4655172413793104
