analysis_set,case_id,threshold,answer_uncertainty,n_answer_clusters
archehr_test,archehr_116,0.3,-0.0,1
archehr_test,archehr_117,0.05,0.4729032506370176,4
archehr_test,archehr_117,0.1,0.29228525323862886,2
archehr_test,archehr_117,0.15,-0.0,1
archehr_test,archehr_117,0.2,-0.0,1
archehr_test,archehr_117,0.25,-0.0,1
archehr_test,archehr_117,0.3,-0.0,1
archehr_test,archehr_118,0.05,-0.0,1
archehr_test,archehr_118,0.1,-0.0,1
archehr_test,archehr_118,0.15,-0.0,1
archehr_test,archehr_118,0.2,-0.0,1
archehr_test,archehr_118,0.25,-0.0,1
archehr_test,archehr_118,0.3,-0.0,1
archehr_test,archehr_119,0.05,-0.0,1
archehr_test,archehr_119,0.1,-0.0,1
archehr_test,archehr_119,0.15,-0.0,1
archehr_test,archehr_119,0.2,-0.0,1
archehr_test,archehr_119,0.25,-0.0,1
archehr_test,archehr_119,0.3,-0.0,1
archehr_test,archehr_120,0.05,0.14118174150460758,2
archehr_test,archehr_120,0.1,-0.0,1
archehr_test,archehr_120,0.15,-0.0,1
archehr_test,archehr_120,0.2,-0.0,1
archehr_test,archehr_120,0.25,-0.0,1
archehr_test,archehr_120,0.3,-0.0,1
