comparison,metric,point_difference,ci_lower,ci_upper,analysis_set
combined_minus_evidence,auroc,0.0008799617407938554,-0.014332974653275793,0.018500239120038283,bioasq_train
combined_minus_evidence,aurc,-0.0007049901036392248,-0.005724330807085228,0.0031251410720530897,bioasq_train
combined_minus_answer,auroc,0.07171688187470115,0.023429937828789948,0.12091056910569098,bioasq_train
combined_minus_answer,aurc,-0.022401830813095172,-0.037578032983580624,-0.007388958108833383,bioasq_train
combined_minus_evidence,auroc,-0.06060606060606066,-0.28282828282828276,0.14141414141414133,archehr_train
combined_minus_evidence,aurc,0.03662924794503741,-0.0857463577336836,0.1748174536108456,archehr_train
combined_minus_answer,auroc,-0.02020202020202022,-0.1717171717171717,0.11616161616161613,archehr_train
combined_minus_answer,aurc,0.005485854015265801,-0.08428836849425098,0.11058293378770348,archehr_train
